job_name, mean_salary, max_salary, min_salary, first_grad, second_grad, third_grad, fourth_grad, fiveth_grad, first_department, second_department, third_department, fourth_department, fiveth_department, first_school, second_school, third_school, fourth_school, fiveth_school, first_skill, second_skill, third_skill, fourth_skill, fiveth_skill, number_of_entries 
Alakart Garson, 2.720, 2.020, 3.520,Turizm ve Otel Ýþletmeciliði (MYO), Turizm Ýþletmeciliði ve Otelcilik, Ýþletme, Turizm Ýþletmeciliði, Konaklama ve Turizm Ýþletmeciliði, Turizm, Gýda, Eðlence - Kültür - Sanat, Hizmet, Biliþim, Anadolu Üniversitesi, Muðla Üniversitesi, Akdeniz Üniversitesi, Selçuk Üniversitesi, Balýkesir Üniversitesi, Futbol,Bilgisayar,Microsoft Office,Spor,Satýþ ve Pazarlama,117,
Albay, 11.750, 8.000, 16.710,Ýþletme, Makine Mühendisliði, Ýnþaat Mühendisliði,  Yönetim ve Organizasyon , Elektrik/Elektronik Mühendisliði, Güvenlik, Taþýmacýlýk, Üretim / Endüstriyel Ürünler, Hizmet, Yapý, Kara Harp Okulu, Hava Harp Okulu, Deniz Harp Okulu, Süleyman Demirel Üniversitesi, Marmara Üniversitesi, Depo Ve Lojistik Yönetimi,Ýnsan Kaynaklarý,Ýnsan Kaynaklarý Yönetimi,Proje Yönetimi,-, 4,
Algoritma Geliþtirme Mühendisi, 6.360, 3.500, 10.710,Elektrik/Elektronik Mühendisliði, Bilgisayar Mühendisliði, Elektronik Mühendisliði, Havacýlýk ve Uzay Mühendisliði, Endüstri Mühendisliði, Biliþim, Üretim / Endüstriyel Ürünler, Elektrik & Elektronik, Otomotiv, Hizmet, Orta Doðu Teknik Üniversitesi (ODTÜ), Ýhsan Doðramacý Bilkent Üniversitesi, Gazi Üniversitesi, Hacettepe Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Adobe Photoshop,C,C#,C++,CSS3,9,
Almanca Öðretmeni, 3.000, 2.090, 3.910,Almanca Öðretmenliði, Alman Dili ve Edebiyatý, Mütercim-Tercümanlýk (Almanca) , Çeviribilim, Eðitim Bilimleri, Eðitim, Danýþmanlýk, Turizm, Hizmet, Tekstil, Hacettepe Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Çukurova Üniversitesi, Anadolu Üniversitesi, Microsoft Office,Resim,Müzik,Microsoft Office Word,Spor,105,
Alternatif Kanal Geliþtirme Uzmaný, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Altyapý Mühendisi, 5.810, 2.650, 8.970,Ýnþaat Mühendisliði, Çevre Mühendisliði, Makine Mühendisliði, Elektrik/Elektronik Mühendisliði, Jeoloji Mühendisliði, Yapý, Hizmet, Elektrik & Elektronik, Enerji, Biliþim, Yýldýz Teknik Üniversitesi (YTÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Sakarya Üniversitesi, Dokuz Eylül Üniversitesi, Çukurova Üniversitesi, 2D Autocad,ArcGIS,AutoCAD,Hakediþ Düzenlenmesi,LAN (Local Area Network),30,
Alüminyum Doðrama Ustasý, 3.360, 2.800, 3.990,Makine (MYO), Kamu Yönetimi, Ýþletme, Gýda Teknolojisi, Elektrik (MYO), Maden ve Metal Sanayi, Yapý, Üretim / Endüstriyel Ürünler, Kimya, Reklam ve Tanýtým, Anadolu Üniversitesi, Gazi Üniversitesi, Kýrýkkale Üniversitesi, Dumlupýnar Üniversitesi, Fýrat Üniversitesi, Elektrik/Elektronik,-, -, -, -, 12,
Alüminyum Küpeþte ustasý, -, -, -, Bilgisayar Programcýlýðý, Makine, Maden ve Metal Sanayi, Yapý, Kimya, -, -, -, -, -, -, -, -, -, -, Üretim,-, -, -, -, -,
Ambulans Hekimi, 9.750, 8.000, 15.000,Týp, Ýlk ve Acil (Paramedik), Acil Yardým ve Afet Yönetimi, Matematik Öðretmenliði, Acil Yardým Teknikerliði (MYO), Saðlýk, Sigortacýlýk, Hizmet, Çevre, Arþiv Yönetimi ve Saklama, Ýstanbul Üniversitesi (ÝÜ), Cumhuriyet Üniversitesi, Ege Üniversitesi, Marmara Üniversitesi, Namýk Kemal Üniversitesi, Ýþ Zekasý,Radyo ve TV teknolojileri,-, -, -, 4,
Ambulans Þoförü, 2.480, 2.020, 3.140,Ýþletme, Elektrik (MYO), Otomotiv (MYO), Kamu Yönetimi, Ýlk ve Acil (Paramedik), Saðlýk, Hizmet, Taþýmacýlýk, Sigortacýlýk, Biliþim, Anadolu Üniversitesi, Atatürk Üniversitesi, Kocaeli Üniversitesi, Ege Üniversitesi, Ýnönü Üniversitesi, Src 2,Src 4,-, -, -, 25,
Ameliyathane Hemþiresi, 3.200, 2.250, 4.140,Ameliyathane Teknikerliði (MYO), Hemþirelik ve Saðlýk Hizmetleri, Hemþirelik (MYO), Hemþirelik, Ebelik , Saðlýk, Hizmet, Sigortacýlýk, Eðitim, Tekstil, Anadolu Üniversitesi, Ýstanbul Bilim Üniversitesi, Niþantaþý Üniversitesi, Ýstanbul Yeni Yüzyýl Üniversitesi, Ýstanbul Medipol Üniversitesi , Ýþçi Saðlýðý ve Ýþ Güvenliði,Sterilizasyon,-, -, -, 203,
Ameliyathane Personeli, 2.550, 2.020, 3.110,Ameliyathane Teknikerliði (MYO), Biyomedikal Cihaz Teknolojisi (MYO), Biyoloji, Büro Yönetimi ve Yönetici Asistanlýðý (MYO), Týbbi Dokümantasyon ve Sekreterlik (MYO), Saðlýk, Hizmet, Sigortacýlýk, Gýda, Taþýmacýlýk, Anadolu Üniversitesi, Atatürk Üniversitesi, Üsküdar Üniversitesi , Niþantaþý Üniversitesi Meslek Yüksekokulu, Kocaeli Üniversitesi, Sterilizasyon,-, -, -, -, 29,
Analist, 4.870, 2.020, 7.860,Kimya, Endüstri Mühendisliði, Bilgisayar Mühendisliði, Ýþletme, Ýstatistik, Finans - Ekonomi, Saðlýk, Biliþim, Danýþmanlýk, Gýda, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Kocaeli Üniversitesi, Boðaziçi Üniversitesi, Analiz Yöntemleri,C#,GCMS / HPLC,Ýþ ve süreç analizi,Java,280,
Analitik Crm Uzmaný, 6.000, 5.000, 7.410,Endüstri Mühendisliði, Ýstatistik, Ýþletme, Matematik, Bilgisayar Teknolojisi ve Programlama (MYO), Finans - Ekonomi, Telekomünikasyon, Biliþim, Sigortacýlýk, Perakende, Ýstanbul Teknik Üniversitesi (ÝTÜ), Yýldýz Teknik Üniversitesi (YTÜ), Marmara Üniversitesi, Boðaziçi Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Big Data,CRM,Dijital Pazarlama,Ýstatistiksel analiz,MS Access,5,
Analitik CRM Yöneticisi, -, -, -, Endüstri Mühendisliði, Ýstatistik, Ýktisat, Ýþletme, Elektrik/Elektronik Mühendisliði, Finans - Ekonomi, Perakende, Yapý, Danýþmanlýk, Telekomünikasyon, Yýldýz Teknik Üniversitesi (YTÜ), Dokuz Eylül Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Erciyes Üniversitesi, Boðaziçi Üniversitesi, ASP.NET,C,C#,CRM,Dijital Pazarlama,-,
Analitik Metod Geliþtirme Uzmaný, -, -, -, Kimya, Kimya Mühendisliði, Endüstri Mühendisliði, Kimya (MYO), Ýþletme, Saðlýk, Otomotiv, Kimya, Eðitim, Maden ve Metal Sanayi, Ýstanbul Üniversitesi (ÝÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Balýkesir Üniversitesi, Eskiþehir Osmangazi Üniversitesi, Ege Üniversitesi, 5S,Analiz Yöntemleri,Analytical Chemistry,Chromatography,GCMS / HPLC,-,
Analitik Metod Validasyon Uzmaný, 6.220, 6.000, 6.520,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 3,
Analiz Teknikeri, 3.460, 2.500, 4.460,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 12,
Analiz Uzmaný, 3.590, 2.020, 5.660,Kimya, Ýþletme, Ýstatistik, Endüstri Mühendisliði, Bilgisayar Teknolojisi ve Programlama (MYO), Biliþim, Saðlýk, Hizmet, Finans - Ekonomi, Gýda, Anadolu Üniversitesi, Kocaeli Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Dokuz Eylül Üniversitesi, Gazi Üniversitesi, Adobe Photoshop,Analiz Yöntemleri,AutoCAD,C#,GCMS / HPLC,10,
Analiz ve Raporlama Uzmaný, 3.810, 2.400, 5.850,Ýstatistik, Ýþletme, Endüstri Mühendisliði, Bilgisayar Teknolojisi ve Programlama (MYO), Ýktisat, Finans - Ekonomi, Hizmet, Telekomünikasyon, Sigortacýlýk, Enerji, Anadolu Üniversitesi, Marmara Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Sakarya Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Bütçe planlama ve raporlama,Finansal Analiz,Finansal Raporlama,Ýstatistiksel analiz,Ýþ ve süreç analizi,43,
Anaokulu Müdürü, 4.510, 2.750, 6.270,Okul Öncesi Öðretmenlik, Çocuk Geliþimi (MYO), Çocuk Geliþimi ve Eðitimi, Çocuk Geliþimi ve Eðitimi Öðretmenliði, Psikoloji, Eðitim, Hizmet, Danýþmanlýk, Biliþim, Tekstil, Anadolu Üniversitesi, Gazi Üniversitesi, Marmara Üniversitesi, Hacettepe Üniversitesi, Selçuk Üniversitesi, Resim,Müzik,Tiyatro,Tasarým,Bilgisayar,14,
Anaokulu Öðretmeni, 2.590, 2.020, 3.280,Çocuk Geliþimi (MYO), Okul Öncesi Öðretmenlik, Çocuk Geliþimi ve Eðitimi, Sosyal Hizmetler, Çocuk Geliþimi ve Eðitimi Öðretmenliði, Eðitim, Danýþmanlýk, Hizmet, Saðlýk, Tekstil, Anadolu Üniversitesi, Atatürk Üniversitesi, Ýstanbul Aydýn Üniversitesi, Ýstanbul Arel Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Çocuk Geliþimi,-, -, -, -, 361,
Anatomi Öðretmeni, -, -, -, Hemþirelik, Hemþirelik (MYO), Hemþirelik ve Saðlýk Hizmetleri, Ebelik , Biyoloji, Eðitim, Saðlýk, Hizmet, Biliþim, Ticaret, Ýstanbul Üniversitesi (ÝÜ), Ege Üniversitesi, Atatürk Üniversitesi, Gazi Üniversitesi, Gaziosmanpaþa Üniversitesi, Ýþ Zekasý,Ýþçi Saðlýðý ve Ýþ Güvenliði,-, -, -, -,
Android Geliþtirici, 5.390, 2.260, 8.520,Bilgisayar Mühendisliði, Yazýlým Mühendisliði, Bilgisayar ve Öðretim Teknolojileri Öðr., Bilgisayar Programcýlýðý, Elektrik/Elektronik Mühendisliði, Biliþim, Elektrik & Elektronik, Telekomünikasyon, Reklam ve Tanýtým, Ticaret, Sakarya Üniversitesi, Fýrat Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Yýldýz Teknik Üniversitesi (YTÜ), Bilecik Þeyh Edebali Üniversitesi, Android,Android Programlama,Android Studio,Android Uygulama Geliþtirme,C#,82,
Anestezi Doktoru, 14.860, 10.000, 19.910,Týp, Anestezi (MYO),  Cerrahi Týp Bilimleri, Hastane Yönetimi ve Organizasyon (MYO), Saðlýk, -, -, -, -, -, Ýstanbul Üniversitesi (ÝÜ), Ankara Üniversitesi, Hacettepe Üniversitesi, Trakya Üniversitesi, Ondokuz Mayýs Üniversitesi, Adobe Flash,Ýþçi Saðlýðý ve Ýþ Güvenliði,-, -, -, 20,
